AL, 03, 2023061700, 03,  NGX, 132, 156N,  501W,  69, 1001, XX,  34, NEQ,   98,   92,   52,   73, 
AL, 03, 2023061700, 03,  NGX, 132, 156N,  501W,  69, 1001, XX,  50, NEQ,   51,   42,   27,    0, 
AL, 03, 2023061700, 03,  NGX, 132, 156N,  501W,  69, 1001, XX,  64, NEQ,   33,    0,    0,    0, 
AL, 03, 2023061700, 03,  NGX, 144, 166N,  513W,  72,  998, XX,  34, NEQ,  124,   78,   58,   95, 
AL, 03, 2023061700, 03,  NGX, 144, 166N,  513W,  72,  998, XX,  50, NEQ,   54,   46,   30,   55, 
AL, 03, 2023061700, 03,  NGX, 144, 166N,  513W,  72,  998, XX,  64, NEQ,   37,   19,    0,   34, 
AL, 03, 2023061700, 03,  NGX, 156, 178N,  522W,  69,  994, XX,  34, NEQ,  144,  137,   70,  104, 
AL, 03, 2023061700, 03,  NGX, 156, 178N,  522W,  69,  994, XX,  50, NEQ,   67,   49,   38,   45, 
AL, 03, 2023061700, 03,  NGX, 156, 178N,  522W,  69,  994, XX,  64, NEQ,   44,   31,    0,   29, 
AL, 03, 2023061700, 03,  NGX, 168, 194N,  521W,  72,  991, XX,  34, NEQ,  150,  158,   83,  130, 
AL, 03, 2023061700, 03,  NGX, 168, 194N,  521W,  72,  991, XX,  50, NEQ,   74,   71,   46,   57, 
AL, 03, 2023061700, 03,  NGX, 168, 194N,  521W,  72,  991, XX,  64, NEQ,   43,   38,    0,   30, 
AL, 03, 2023061700, 03,  NGX, 180, 218N,  516W,  77,  987, XX,  34, NEQ,  175,  182,  106,  133, 
AL, 03, 2023061700, 03,  NGX, 180, 218N,  516W,  77,  987, XX,  50, NEQ,   94,   72,   56,   74, 
AL, 03, 2023061700, 03,  NGX, 180, 218N,  516W,  77,  987, XX,  64, NEQ,   60,   44,   36,   42, 
AL, 03, 2023061700, 03,  UKM,   0,  80N,  289W,  20, 1013, TD,   0,    ,    0,    0,    0,    0,    0,    0, 278,   0,   0,   L,   0,    ,   0,   0,        92L,  , 
AL, 03, 2023061700, 03,  UKX,   0, 101N,  254W,   0, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 03, 2023061700, 03,  UKX,  12,  87N,  290W,  16, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
